Running query: recursive_function_calls.ql on database /home/till/thesis/bsp/.src/linux/hantro-db...
|                 col0                 |             col1             |
+--------------------------------------+------------------------------+
| __compiletime_assert_8               | ioport.h                     |
| __compiletime_assert_8               | cmpxchg.h                    |
| __compiletime_assert_8               | gettimeofday.c               |
| list_add_tail                        | list.h                       |
| __compiletime_assert_16              | list.h                       |
| __compiletime_assert_16              | lock.h                       |
| __list_add                           | list.h                       |
| __list_add_valid                     | list.h                       |
| __compiletime_assert_15              | list.h                       |
| __compiletime_assert_15              | atomic-arch-fallback.h       |
| __compiletime_assert_14              | list.h                       |
| __compiletime_assert_14              | atomic-arch-fallback.h       |
| INIT_LIST_HEAD                       | list.h                       |
| generic_test_bit                     | generic-non-atomic.h         |
| _printk                              | printk.h                     |
| pfn_valid                            | mmzone.h                     |
| bitmap_weight                        | bitmap.h                     |
| bitmap_find_next_zero_area           | bitmap.h                     |
| bitmap_find_next_zero_area_off       | bitmap.h                     |
| __bitmap_weight                      | bitmap.h                     |
| bitmap_free                          | bitmap.h                     |
| bitmap_zalloc                        | bitmap.h                     |
| system_uses_irq_prio_masking         | cpufeature.h                 |
| arch_local_irq_restore               | irqflags.h                   |
| __pmr_local_irq_restore              | irqflags.h                   |
| __daif_local_irq_restore             | irqflags.h                   |
| arch_local_irq_save                  | irqflags.h                   |
| __pmr_local_irq_save                 | irqflags.h                   |
| __daif_local_irq_save                | irqflags.h                   |
| __pmr_irqs_disabled_flags            | irqflags.h                   |
| __pmr_local_save_flags               | irqflags.h                   |
| __daif_local_save_flags              | irqflags.h                   |
| __pmr_local_irq_disable              | irqflags.h                   |
| __daif_local_irq_disable             | irqflags.h                   |
| __compiletime_assert_188             | qspinlock.h                  |
| __compiletime_assert_188             | sched.h                      |
| queued_spin_unlock                   | qspinlock.h                  |
| queued_spin_lock                     | qspinlock.h                  |
| queued_spin_lock_slowpath            | qspinlock.h                  |
| __raw_spin_unlock_irqrestore         | spinlock_api_smp.h           |
| do_raw_spin_lock                     | spinlock.h                   |
| __raw_spin_lock_irqsave              | spinlock_api_smp.h           |
| spin_unlock_irqrestore               | spinlock.h                   |
| spinlock_check                       | spinlock.h                   |
| do_raw_spin_unlock                   | spinlock.h                   |
| __wake_up                            | wait.h                       |
| mutex_unlock                         | mutex.h                      |
| mutex_lock                           | mutex.h                      |
| get_order                            | getorder.h                   |
| refcount_dec_and_test                | refcount.h                   |
| __refcount_dec_and_test              | refcount.h                   |
| __refcount_sub_and_test              | refcount.h                   |
| refcount_read                        | refcount.h                   |
| refcount_set                         | refcount.h                   |
| refcount_warn_saturate               | refcount.h                   |
| rcu_is_watching                      | rcutree.h                    |
| rcu_read_unlock_sched                | rcupdate.h                   |
| rcu_read_lock_sched                  | rcupdate.h                   |
| __compiletime_assert_256             | mmzone.h                     |
| __compiletime_assert_256             | xarray.h                     |
| pfn_section_valid                    | mmzone.h                     |
| subsection_map_index                 | mmzone.h                     |
| __pfn_to_section                     | mmzone.h                     |
| early_section                        | mmzone.h                     |
| valid_section                        | mmzone.h                     |
| __nr_to_section                      | mmzone.h                     |
| pfn_to_section_nr                    | mmzone.h                     |
| __free_pages                         | gfp.h                        |
| alloc_pages_noprof                   | gfp.h                        |
| kvfree                               | slab.h                       |
| kvmalloc_array_node_noprof           | slab.h                       |
| __kvmalloc_node_noprof               | slab.h                       |
| kzalloc_noprof                       | slab.h                       |
| kmalloc_array_noprof                 | slab.h                       |
| kmalloc_noprof                       | slab.h                       |
| __kmalloc_large_noprof               | slab.h                       |
| __kmalloc_cache_noprof               | slab.h                       |
| __kmalloc_noprof                     | slab.h                       |
| __compiletime_assert_262             | slab.h                       |
| __kmalloc_index                      | slab.h                       |
| kmalloc_type                         | slab.h                       |
| kfree                                | slab.h                       |
| _dev_err                             | dev_printk.h                 |
| put_device                           | device.h                     |
| get_device                           | device.h                     |
| iounmap                              | io.h                         |
| set_page_dirty_lock                  | mm.h                         |
| unpin_user_pages                     | mm.h                         |
| split_page                           | mm.h                         |
| invalidate_kernel_vmap_range         | highmem.h                    |
| sg_alloc_table_from_pages            | scatterlist.h                |
| sg_alloc_table_from_pages_segment    | scatterlist.h                |
| sg_free_table                        | scatterlist.h                |
| dma_free_coherent                    | dma-mapping.h                |
| dma_sync_sgtable_for_cpu             | dma-mapping.h                |
| dma_unmap_sgtable                    | dma-mapping.h                |
| dma_sync_sg_for_cpu                  | dma-mapping.h                |
| dma_dev_need_sync                    | dma-mapping.h                |
| __dma_sync_sg_for_cpu                | dma-mapping.h                |
| dma_vunmap_noncontiguous             | dma-mapping.h                |
| dma_free_noncontiguous               | dma-mapping.h                |
| dma_alloc_noncontiguous              | dma-mapping.h                |
| dma_free_attrs                       | dma-mapping.h                |
| dma_alloc_attrs                      | dma-mapping.h                |
| dma_unmap_resource                   | dma-mapping.h                |
| dma_map_sgtable                      | dma-mapping.h                |
| dma_unmap_sg_attrs                   | dma-mapping.h                |
| vfree                                | vmalloc.h                    |
| vmalloc_user_noprof                  | vmalloc.h                    |
| vm_unmap_ram                         | vmalloc.h                    |
| alternative_has_cap_unlikely         | alternative-macros.h         |
| alternative_has_cap_likely           | alternative-macros.h         |
| frame_vector_pfns                    | frame_vector.h               |
| frame_vector_pages                   | frame_vector.h               |
| frame_vector_count                   | frame_vector.h               |
| frame_vector_to_pfns                 | frame_vector.c               |
| frame_vector_to_pages                | frame_vector.c               |
| put_vaddr_frames                     | frame_vector.c               |
| frame_vector_destroy                 | frame_vector.c               |
| media_request_object_unbind          | media-request.h              |
| media_request_object_put             | media-request.h              |
| media_request_put                    | media-request.h              |
| vb2_get_buffer                       | videobuf2-core.h             |
| vb2_get_drv_priv                     | videobuf2-core.h             |
| vb2_get_num_buffers                  | videobuf2-core.h             |
| vb2_queue_allows_cache_hints         | videobuf2-core.h             |
| vb2_buffer_in_use                    | videobuf2-core.c             |
| vb2_buffer_done                      | videobuf2-core.c             |
| trace_vb2_buf_done                   | vb2.h                        |
| __vb2_queue_cancel                   | videobuf2-core.c             |
| __vb2_dqbuf                          | videobuf2-core.c             |
| vb2_core_free_buffers_storage        | videobuf2-core.c             |
| vb2_core_allocated_buffers_storage   | videobuf2-core.c             |
| verify_coherency_flags               | videobuf2-core.c             |
| set_queue_coherency                  | videobuf2-core.c             |
| __buffers_in_use                     | videobuf2-core.c             |
| __vb2_queue_free                     | videobuf2-core.c             |
| __vb2_free_mem                       | videobuf2-core.c             |
| __vb2_queue_alloc                    | videobuf2-core.c             |
